Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.1038E-08,5.4326E-06,0.95377,0,0,0,6.4875,0.013251,-1.0594E-07,1.1747E-08,0.018788,-2.0057E-07,0.016546,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/base_link.STL,,Act_Torso_Yaw-1;Link_Hip-1;Act_Hip_Yaw_L-1;Act_Hip_Yaw_R-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Torso_Yaw_Link,1.1997E-17,0.054131,-2.8977E-17,0,0,0,1.9589,0.0020305,-7.9398E-19,-5.6399E-10,0.0022686,1.8408E-18,0.0026768,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Torso_Yaw_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Torso_Yaw_Link.STL,,Link_Torso_Yaw-1;Torso_AA-1,Origin_Torso_Yaw2,Axis_Torso_Yaw2,Torso_Yaw,revolute,0,0,1.045,1.5708,0,0,base_link,0,1,0,0,0,-1.5707,1.5707,,,,,,,,
Torso_AA_Link,-2.0708E-07,0.22736,-0.0095751,0,0,0,30,0.12796,3.2398E-07,-2.8027E-08,0.10181,0.0058619,0.12906,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Torso_AA_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Torso_AA_Link.STL,,Link_Torso-1;Act_Shoulder_FE_L-1;Act_Neck_Yaw-1;Act_Shoulder_FE_R-1,Origin_Torso_AA2,Axis_Torso_AA2,Torso_AA,revolute,0,0.0800000000000003,0,0,0,0,Torso_Yaw_Link,0,0,1,0,0,-0.785,0.785,,,,,,,,
Neck_Yaw_Link,-1.4038E-08,0.029123,3.699E-09,0,0,0,0.45918,0.00025102,-1.3964E-10,1.1085E-10,0.00027253,-1.7767E-11,0.00024693,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Neck_Yaw_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Neck_Yaw_Link.STL,,Link_Neck_Yaw-1;Act_Neck_FE-1,Origin_Neck_Yaw2,Axis_Neck_Yaw2,Neck_Yaw,revolute,0,0.355,-0.0129866470414555,0,0,0,Torso_AA_Link,0,1,0,0,0,-0.785,0.785,,,,,,,,
Neck_FE_Link,2.2453E-06,0.15386,0.035067,0,0,0,3,0.04359,-3.1398E-07,-1.9196E-07,0.023367,0.0026283,0.047363,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Neck_FE_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Neck_FE_Link.STL,,Link_Head-1;Link_Head_Mask-1,Origin_Neck_FE2,Axis_Neck_FE2,Neck_FE,revolute,0,0.0399999999999998,0,0,0,0,Neck_Yaw_Link,1,0,0,0,0,-0.785,0.785,,,,,,,,
Shoulder_FE_R_Link,-0.0310067505083414,0.019345596761579,1.48881177824227E-10,0,0,0,1.80654252567583,0.00223136805713306,0.000243223757907872,-2.90423444678987E-10,0.00246945115474458,-4.63576699028405E-10,0.00270170721323667,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Shoulder_FE_R_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Shoulder_FE_R_Link.STL,,Link_Shoulder_FE_R-1;Act_Shoulder_AA_R-1,Origin_Shoulder_FE_R2,Axis_Shoulder_FE_R2,Shoulder_FE_R,revolute,-0.134606791294279,0.313081203127166,0,0,0,0,Torso_AA_Link,0.848411485673513,-0.529337275257715,0,0,0,-0.785,3.141,,,,,,,,
Shoulder_AA_R_Link,-0.0381306595274215,-0.0834509868200322,-0.0151840043629273,0,0,0,1.247855047949,0.00255619066796935,-0.000745614459901058,0.000210043728183181,0.0012650690077835,0.000459692806544922,0.00280837799737988,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Shoulder_AA_R_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Shoulder_AA_R_Link.STL,,Link_Shoulder_AA_R-1;Act_Shoulder_Yaw_R-1,Origin_Shoulder_AA_R2,Axis_Shoulder_AA_R2,Shoulder_AA_R,revolute,-0.0496017470231125,0.0309473104273139,0,0,0,0,Shoulder_FE_R_Link,0,0,1,0,0,-0.785,2.094,,,,,,,,
Shoulder_Yaw_R_Link,-0.0519770780045243,-0.113754803821021,2.1573737799135E-09,0,0,0,2.06319971291781,0.00360586911977551,-0.000803766521239213,-0.00015613227592812,0.00221403833441209,7.13399292874001E-05,0.00432891643180672,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Shoulder_Yaw_R_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Shoulder_Yaw_R_Link.STL,,Link_Shoulder_Yaw_R-1;Act_Elbow_FE_R-1,Origin_Shoulder_Yaw_R2,Axis_Shoulder_Yaw_R2,Shoulder_Yaw_R,revolute,-0.0516249564943227,-0.112984177257028,0,0,0,0,Shoulder_AA_R_Link,0.415593597783362,0.909550417229018,0,0,0,-1.57,1.57,,,,,,,,
Elbow_FE_R_Link,-0.0430905861287604,-0.0545416277452424,0.00455317320276115,0,0,0,0.692088336953301,0.000881635924536338,-5.45477026515835E-05,2.15374708302045E-05,0.000351801344105622,0.000148361087401981,0.000826885225838731,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Elbow_FE_R_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Elbow_FE_R_Link.STL,,Act_Elbow_Yaw_R-1;Link_Elbow_FE_R-1,Origin_Elbow_FE_R2,Axis_Elbow_FE_R2,Elbow_FE_R,revolute,-0.0748034856878404,-0.163711717361511,0,0,0,0,Shoulder_Yaw_R_Link,0.843385849793954,-0.385361551153234,0.374428609029951,0,0,-0.157,2.268,,,,,,,,
Elbow_Yaw_R_Link,-0.0300774802367351,-0.0569008247691511,0.00918608157764246,0,0,0,0.486444545942294,0.000207124470524885,-9.88793102363349E-06,-1.73468963111058E-05,0.000202259244154704,2.05411115364028E-05,0.000264155161494633,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Elbow_Yaw_R_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Elbow_Yaw_R_Link.STL,,Link_Elbow_Yaw_R-1;Act_Wrist_FE_R-1,Origin_Elbow_Yaw_R2,Axis_Elbow_Yaw_R2,Elbow_Yaw_R,revolute,-0.042145521469758,-0.0797312447084886,0.0128718270647735,0,0,0,Elbow_FE_R_Link,0.462635059808256,0.875216817302152,-0.141295166752804,0,0,-1.57,1.57,,,,,,,,
