Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base_link,5.26908736552403E-07,4.06140266143968E-07,-0.0938267348666136,0,0,0,4.05456343292963,0.01179024779419,1.98569478538591E-07,2.69528460015416E-08,0.00882192861925352,1.57018371732142E-08,0.00853201033876545,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Base_link.STL,,10007466-1;10007482-1;10003094-3/10003186-2;10003094-2/10003186-2;10003141-1/10003140-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Hip_FE_R,0.000541127224287277,-0.0087940014717252,0.0546701517721605,0,0,0,1.07035826648111,0.00290627528873941,4.24751875074879E-11,1.72009201692152E-11,0.00293058714084905,0.000227323584823247,0.00236341553431236,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Hip_FE_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Hip_FE_R.STL,,10007472-3;10003110-2/10003188-1;10003094-3/10003184-1,Origin_Hip_FE_R_DOF,Axis_Hip_FE_R_DOF,Hip_FE_R_DOF,revolute,0,-0.0949999999999997,-0.135000000000001,1.78896248329418,0,0,Base_link,0,0,-1,360,13.195,-3.1416,3.1416,,,,,,,,
Hip_AA_R,-0.0280662913954326,-3.40972744422574E-06,-0.0299726465658144,0,0,0,1.34201634674739,0.00214673972134238,-1.03267075873292E-07,-8.91114438170701E-09,0.00247286659054722,-5.76013560720327E-08,0.00349564781098248,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Hip_AA_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Hip_AA_R.STL,,10007470-3;10003110-2/10003190-1;10003110-3/10003188-1,Origin_Hip_AA_R_DOF,Axis_Hip_AA_R_DOF,Hip_AA_R_DOF,revolute,0.0300000000000001,-0.0141381072379307,0.0748339089165384,1.5707963267949,0.218166156499285,1.5707963267949,Hip_FE_R,0,0,1,150,14.661,-2.7925,0.34907,,,,,,,,
Hip_Rot_R,0.000714208177893058,-0.00695351764808222,0.142400789591637,0,0,0,3.68698255922592,0.0236627986112543,1.62762152791596E-06,-0.000511723084718518,0.0273033811210901,-5.94104395735994E-06,0.00768041652660593,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Hip_Rot_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Hip_Rot_R.STL,,10003110-3/10003190-1;10007464-2;10003094-5/10003186-2;10003094-5/10003184-1;10007474-2,Origin_Hip_Rot_R_DOF,Axis_Hip_Rot_R_DOF,Hip_Rot_R_DOF,revolute,-0.08,0,-0.03,3.1416,1.5708,0,Hip_AA_R,0,0,1,150,14.661,-3.1416,3.1416,,,,,,,,
Knee_FE_R,0.039838910690881,-0.142355350265899,0.00332735364250217,0,0,0,4.44907653971811,0.0294571093985271,-0.000122798100602818,-1.25336911412054E-05,0.00571924091731441,-1.35468581198028E-05,0.033554717187136,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Knee_FE_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Knee_FE_R.STL,,10007480-2;10003141-3/10003140-1;10003141-3/10003138-1;10003141-2/10003138-1;10003141-2/10003140-1;10007468-2,Origin_Knee_FE_R_DOF,Axis_Knee_FE_R_DOF,Knee_FE_R_DOF,revolute,0.0399999999999994,0,0.35,-1.5707963267949,0,-3.14159265358979,Hip_Rot_R,0,0,-1,360,13.195,0,2.4435,,,,,,,,
Ankle_FE_R,1.12885247022067E-08,0,1.36591147559262E-08,0,0,0,0.0440234895833192,7.49572746815675E-06,-1.31332857591702E-11,6.78691130065407E-18,1.21074989851543E-05,1.19393507027098E-11,5.88417476785088E-06,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Ankle_FE_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Ankle_FE_R.STL,,10007478-2,Origin_Ankle_FE_R_DOF,Axis_Ankle_FE_R_DOF,Ankle_FE_R_DOF,revolute,0.0400000000000001,-0.39,0,3.14159265358979,0,0,Knee_FE_R,0,0,1,90,16.441,-1.5708,1.5708,,,,,,,,
Ankle_Roll_R,-0.0358077749170249,-2.10164330660678E-07,0.0397465343505236,0,0,0,0.388227325603849,0.00152304211561766,2.87037254981105E-10,0.000140349469841203,0.00137926463671363,-7.23593454580257E-09,0.000339510228557633,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Ankle_Roll_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Ankle_Roll_R.STL,,10007476-2,Origin_Ankle_Roll_R_DOF,Axis_Ankle_Roll_R_DOF,Ankle_Roll_R_DOF,revolute,0,0,0,-1.5708,0,-1.5708,Ankle_FE_R,0,0,1,90,16.441,-0.7854,0.7854,,,,,,,,
Hip_FE_L,0.000541128219824045,0.00879400147172583,0.0546701517721603,0,0,0,1.07035826648111,0.00290627528873941,4.24751872195233E-11,-1.72009196543018E-11,0.00293058714084905,-0.000227323584823247,0.00236341553431236,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Hip_FE_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Hip_FE_L.STL,,10007472-4;10003110-4/10003188-1;10003094-2/10003184-1,Origin_Hip_FE_L_DOF,Axis_Hip_FE_L_DOF,Hip_FE_L_DOF,revolute,0,0.0950000000000001,-0.135,-1.78896248329418,0,0,Base_link,0,0,-1,360,13.195,-3.1416,3.1416,,,,,,,,
Hip_AA_L,-0.028061867866019,-1.01380196940171E-06,-0.0299726465658143,0,0,0,1.34201634674739,0.00213821001182397,1.03267075872987E-07,5.76013560725421E-08,0.00248139630006563,-8.91114438057843E-09,0.00349564781098248,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Hip_AA_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Hip_AA_L.STL,,10007470-4;10003110-4/10003190-1;10003110-6/10003188-1,Origin_Hip_AA_L_DOF,Axis_Hip_AA_L_DOF,Hip_AA_L_DOF,revolute,0.03,0.014138,0.074834,-1.5708,0.21817,-1.5708,Hip_FE_L,0,0,-1,150,14.661,-2.7925,0.34907,,,,,,,,
Hip_Rot_L,0.000714953148290275,0.00695293492870525,0.142401106163212,0,0,0,3.68688875410573,0.0236628037232906,-1.89892110954379E-06,-0.000511879736056993,0.0273033900241753,5.90440347167564E-06,0.00768042525228793,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Hip_Rot_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://10007483_URDF_05012025/meshes/Hip_Rot_L.STL,,10003110-6/10003190-1;10007487-1;10007485-1;10003094-6/10003186-2;10003094-6/10003184-1,Origin_Hip_Rot_L_DOF,Axis_Hip_Rot_L_DOF,Hip_Rot_L_DOF,revolute,-0.08,0,-0.03,3.1416,1.5708,0,Hip_AA_L,0,0,1,150,14.661,-3.1416,3.1416,,,,,,,,
